gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn_Probability,Predicted_Churn,Risk_Category
0,0,0,0,29,1,2,2,1,1,1,1,1,1,0,0,2,25.15,702.0,0.24405728,0,Low
1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,54.4,114.1,0.75408727,1,High
0,0,0,0,10,0,1,0,0,0,0,2,0,0,2,1,3,29.6,299.05,0.15678798,0,Low
1,0,1,0,18,1,2,1,0,0,0,0,0,0,0,1,2,73.15,1305.95,0.73151284,1,High
0,1,0,0,11,1,0,1,0,2,0,0,2,2,0,1,2,95.0,1120.3,0.8188747,1,High
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,3,19.75,284.35,0.039505918,0,Low
0,0,0,0,72,1,2,0,0,2,2,2,2,2,2,0,0,86.6,6350.5,0.032534044,0,Low
1,0,0,0,72,1,2,1,0,2,2,2,2,2,2,0,0,109.2,7878.3,0.094063416,0,Low
0,0,1,1,41,1,0,0,2,0,0,2,2,2,1,1,1,74.7,3187.65,0.219405,0,Low
0,1,1,0,65,1,0,1,2,2,2,0,0,2,0,0,2,94.4,6126.15,0.3759545,1,Medium
0,1,0,0,13,1,0,0,0,2,2,0,0,0,0,1,2,54.8,731.3,0.5663965,1,Medium
1,1,0,0,4,1,0,1,2,0,0,0,0,0,0,0,2,75.35,273.4,0.6590945,1,High
1,0,0,0,41,1,2,0,0,0,2,0,0,2,1,0,3,65.0,2531.8,0.2370879,0,Low
1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,74.4,1074.3,0.7250915,1,High
1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,48.55,48.55,0.66089654,1,High
1,0,0,0,42,1,2,1,2,2,2,0,0,2,1,1,2,99.0,4298.45,0.4423759,1,Medium
0,0,1,0,51,1,0,1,2,2,2,0,2,0,1,1,2,93.5,4619.55,0.27384475,0,Low
0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,2,70.4,147.15,0.8208865,1,High
1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,40.2,40.2,0.8206317,1,High
1,0,0,1,32,1,2,0,0,2,2,2,2,2,1,0,1,83.7,2633.3,0.2400954,0,Low
1,0,0,0,10,1,0,2,1,1,1,1,1,1,0,1,3,19.85,193.05,0.26314428,0,Low
0,0,1,1,67,0,1,0,0,2,2,2,2,2,2,1,2,59.55,4103.9,0.08418511,0,Low
